Таблица времени выполнения для разных n_jobs:
    n_jobs  ThreadPoolExecutor  ProcessPoolExecutor
0        1            0.060546             0.329291
1        2            0.049642             0.428968
2        3            0.050629             0.526936
3        4            0.051077             0.591907
4        5            0.051280             0.650848
5        6            0.055881             0.645707
6        7            0.053976             0.768269
7        8            0.050123             0.827808
8        9            0.055914             0.880481
9       10            0.052092             0.927135
10      11            0.051708             1.089583
11      12            0.050313             1.069461
12      13            0.050580             1.240505
13      14            0.057493             1.331739
14      15            0.050054             1.437765
15      16            0.050686             1.506690
16      17            0.050833             1.471659
17      18            0.050574             1.572625
18      19            0.050123             1.562778
19      20            0.051314             1.637287
